student_id,college_id,subject_id,rank,score
1,4,3,1,120
1,3,3,2,120
1,14,2,3,90
1,20,1,4,360
1,9,4,5,70
2,17,3,1,340
2,4,3,2,340
2,5,1,3,90
2,12,2,4,420
2,11,4,5,170
2,2,2,6,420
2,6,3,7,340
3,4,3,1,10
3,15,1,2,380
3,2,2,3,130
3,11,4,4,460
3,1,3,5,10
4,18,4,1,110
4,19,2,2,170
4,14,2,3,170
4,9,4,4,110
4,20,1,5,340
4,16,2,6,170
4,1,3,7,450
5,17,3,1,340
5,16,2,2,460
5,18,4,3,350
5,13,3,4,340
5,14,2,5,460
6,6,3,1,320
6,8,2,2,380
6,2,2,3,380
6,9,4,4,330
6,7,3,5,320
6,11,4,6,330
6,16,2,7,380
6,3,3,8,320
6,17,3,9,320
6,18,4,10,330
7,10,3,1,160
7,17,3,2,160
7,13,3,3,160
7,2,2,4,170
7,18,4,5,460
7,8,2,6,170
8,13,3,1,470
8,8,2,2,290
8,15,1,3,210
8,16,2,4,290
8,2,2,5,290
8,20,1,6,210
8,4,3,7,470
8,3,3,8,470
8,1,3,9,470
9,9,4,1,180
9,12,2,2,220
9,13,3,3,90
9,3,3,4,90
9,20,1,5,110
9,7,3,6,90
9,19,2,7,220
9,17,3,8,90
9,1,3,9,90
10,12,2,1,90
10,1,3,2,470
10,19,2,3,90
10,17,3,4,470
10,18,4,5,280
10,2,2,6,90
10,14,2,7,90
10,11,4,8,280
11,5,1,1,410
11,18,4,2,70
11,11,4,3,70
11,13,3,4,130
11,2,2,5,420
11,3,3,6,130
11,10,3,7,130
11,7,3,8,130
11,17,3,9,130
11,20,1,10,410
12,13,3,1,300
12,14,2,2,320
12,12,2,3,320
12,1,3,4,300
12,15,1,5,290
12,5,1,6,290
12,11,4,7,460
12,17,3,8,300
12,19,2,9,320
12,16,2,10,320
13,8,2,1,180
13,12,2,2,180
13,15,1,3,480
13,4,3,4,120
13,10,3,5,120
13,17,3,6,120
13,18,4,7,390
14,7,3,1,10
14,9,4,2,100
14,3,3,3,10
14,17,3,4,10
14,2,2,5,440
14,13,3,6,10
14,4,3,7,10
15,20,1,1,160
15,3,3,2,130
15,19,2,3,210
15,11,4,4,180
15,5,1,5,160
16,16,2,1,160
16,9,4,2,200
16,1,3,3,430
16,4,3,4,430
16,10,3,5,430
16,11,4,6,200
16,3,3,7,430
16,7,3,8,430
16,18,4,9,200
16,13,3,10,430
17,12,2,1,150
17,15,1,2,100
17,14,2,3,150
17,7,3,4,130
17,6,3,5,130
17,11,4,6,80
17,13,3,7,130
18,2,2,1,320
