student_id,college_id,subject_id,rank,score
1,1,1,1,450
1,2,2,2,400
1,3,3,3,380
1,4,3,4,380
2,2,2,1,460
2,3,3,2,420
2,5,4,3,410
2,1,1,4,390
3,3,3,1,490
3,4,3,2,480
3,1,1,3,470
3,5,4,4,460
4,4,3,1,430
4,5,4,2,420
4,2,2,3,410
4,3,3,4,400
5,5,4,1,500
5,1,1,2,490
5,2,2,3,480
5,4,3,4,470
6,1,1,1,350
6,3,3,2,340
6,4,3,3,330
6,5,4,4,320
7,2,2,1,380
7,4,3,2,370
7,5,4,3,360
7,3,3,4,350
8,3,3,1,410
8,2,2,2,400
8,1,1,3,390
8,5,4,4,380
9,4,3,1,440
9,1,1,2,430
9,5,4,3,420
9,2,2,4,410
10,5,4,1,470
10,3,3,2,460
10,2,2,3,450
10,4,3,4,440
11,1,1,1,300
11,2,2,2,290
11,5,4,3,280
11,3,3,4,270
12,2,2,1,350
12,3,3,2,340
12,4,3,3,330
12,1,1,4,320
13,3,3,1,400
13,5,4,2,390
13,1,1,3,380
13,2,2,4,370
14,4,3,1,420
14,2,2,2,410
14,3,3,3,400
14,5,4,4,390
15,5,4,1,480
15,4,3,2,470
15,1,1,3,460
15,2,2,4,450
