student_id,subject_1_score,subject_2_score,subject_3_score,subject_4_score
1,360,90,120,70
2,90,420,340,170
3,380,130,10,460
4,340,170,450,110
5,180,460,340,350
6,350,380,320,330
7,350,170,160,460
8,210,290,470,60
9,110,220,90,180
10,350,90,470,280
11,410,420,130,70
12,290,320,300,460
13,480,180,120,390
14,70,440,10,100
15,160,210,130,180
16,380,160,430,200
17,100,150,130,80
18,320,320,10,200
19,60,200,270,450
20,330,140,340,430
21,410,50,200,230
22,310,80,80,170
23,390,390,210,220
24,270,70,260,10
25,200,60,300,410
26,140,180,60,320
27,480,410,400,140
28,270,460,390,440
29,490,180,240,340
30,410,310,30,180
31,250,160,190,480
32,490,120,420,240
33,150,390,110,490
34,180,200,180,380
35,70,50,390,140
36,360,250,450,380
37,370,390,470,160
38,150,340,140,330
39,200,270,280,130
40,390,120,490,350
41,270,120,310,90
42,250,80,80,270
43,240,240,140,40
44,350,240,190,390
45,450,330,200,50
46,430,380,400,380
47,450,60,180,280
48,120,220,50,310
49,40,430,470,0
50,180,320,340,340
51,350,90,110,370
52,180,20,480,460
53,20,240,400,340
54,430,210,100,380
55,460,380,200,330
56,310,390,440,100
57,300,60,300,420
58,260,470,160,440
59,10,440,120,490
60,460,440,400,10
61,0,380,130,200
62,50,380,430,140
63,420,120,20,290
64,370,200,70,30
65,230,130,270,450
66,300,170,140,50
67,50,0,270,410
68,470,370,400,20
69,430,130,340,300
70,340,140,0,40
71,0,90,370,60
72,60,490,120,200
73,130,280,90,330
74,140,140,340,250
75,470,240,390,310
76,100,440,170,380
77,480,330,470,360
78,350,320,10,250
79,0,400,20,180
80,390,460,430,240
81,250,310,490,260
82,240,320,420,320
83,220,200,0,420
84,260,120,220,160
85,260,490,350,230
86,80,10,210,180
87,10,400,490,450
88,480,300,0,490
89,460,410,460,420
90,370,180,430,410
91,190,160,480,460
92,140,300,350,480
93,430,70,10,120
94,20,210,160,150
95,290,10,150,430
96,400,230,220,450
97,440,130,80,480
98,360,170,320,130
99,330,50,360,230
100,350,0,10,300
101,110,30,470,340
102,90,210,350,350
103,190,440,440,190
104,300,130,310,460
105,490,40,170,440
106,10,370,220,270
107,130,220,500,380
108,360,300,390,180
109,100,60,50,450
110,80,480,460,260
111,40,120,360,240
112,270,80,160,170
113,310,350,10,360
114,290,450,50,30
115,400,370,90,290
116,300,490,480,80
117,430,490,230,190
118,250,240,170,280
119,410,200,460,310
120,410,370,320,330
121,380,330,340,90
122,460,80,420,390
123,320,80,270,120
124,410,260,70,300
125,390,390,0,110
126,340,210,460,300
127,480,140,60,270
128,60,200,50,300
129,320,10,40,40
130,370,390,340,80
131,250,230,330,0
132,460,430,270,400
133,320,460,450,300
134,300,0,170,210
135,300,400,300,220
136,130,310,400,460
137,480,320,140,230
138,80,70,320,190
139,450,220,270,190
140,140,250,20,390
141,410,360,410,220
142,360,170,370,370
143,310,60,370,330
144,340,130,370,450
145,420,200,140,370
146,110,170,420,480
147,490,90,190,420
148,480,320,10,490
149,370,130,410,160
150,420,0,450,480
151,470,360,400,370
152,370,10,320,390
153,250,230,140,200
154,440,50,460,60
155,50,270,30,100
156,490,290,210,200
157,70,380,370,240
158,0,80,410,270
159,200,340,270,470
160,390,280,150,310
161,60,20,80,480
162,220,100,220,130
163,190,130,390,370
164,40,170,120,80
165,370,30,30,80
166,450,460,170,90
167,70,290,450,310
168,460,280,270,340
169,150,350,220,330
170,490,480,160,160
171,120,290,100,50
172,490,430,350,200
173,130,270,220,460
174,260,320,480,60
175,420,420,390,400
176,250,390,280,140
177,250,160,380,150
178,240,430,450,50
179,160,100,130,300
180,200,370,210,410
181,440,440,280,50
182,470,470,260,380
183,60,0,190,340
184,480,150,170,70
185,0,480,380,480
186,10,120,470,310
187,80,220,230,360
188,230,440,50,410
189,210,460,230,10
190,190,210,190,260
191,90,330,460,170
192,50,440,470,60
193,350,240,450,160
194,130,110,180,300
195,140,410,90,470
196,300,70,210,450
197,40,150,170,420
198,440,470,200,370
199,410,420,70,290
200,10,50,260,190
201,470,460,440,70
202,170,150,160,50
203,430,250,240,280
204,70,30,0,280
205,460,120,150,350
206,60,210,420,490
207,190,40,280,220
208,130,160,300,90
209,410,370,190,110
210,90,90,430,180
211,450,140,110,310
212,390,280,380,200
213,380,450,300,0
214,40,130,260,330
215,120,260,120,10
216,440,60,310,480
217,180,240,400,30
218,400,400,190,290
219,280,350,0,290
220,280,470,190,130
221,440,60,20,30
222,110,280,380,270
223,250,90,350,290
224,90,410,320,300
225,200,340,390,360
226,340,0,30,400
227,440,160,130,280
228,430,340,140,180
229,310,50,100,330
230,470,340,90,290
231,340,0,120,200
232,100,250,40,80
233,380,450,20,440
234,320,150,330,110
235,110,350,10,220
236,310,130,360,460
237,60,340,310,260
238,130,80,420,390
239,190,470,480,140
240,480,80,250,250
241,160,390,70,140
242,60,150,0,440
243,120,410,50,30
244,390,390,60,200
245,200,90,40,370
246,250,480,70,500
247,20,40,460,450
248,320,30,0,10
249,10,250,250,310
250,220,200,400,120
251,250,300,310,170
252,430,480,70,370
253,250,0,220,120
254,270,90,280,460
255,210,440,350,200
256,180,0,140,310
257,290,210,80,70
258,290,340,50,10
259,300,70,490,120
260,340,310,120,350
261,340,50,170,350
262,150,10,450,0
263,400,370,370,440
264,180,410,170,130
265,190,300,470,0
266,300,480,100,370
267,10,50,270,290
268,130,370,230,300
269,240,130,80,0
270,480,280,360,210
271,280,120,220,160
272,350,140,110,440
273,60,240,370,440
274,110,340,160,170
275,320,400,120,260
276,0,140,150,400
277,450,150,330,340
278,350,360,160,430
279,220,180,260,230
280,160,270,330,300
281,460,360,430,480
282,220,320,40,190
283,420,340,220,370
284,380,80,430,380
285,130,300,370,320
286,160,380,360,380
